ID,Titulo,Autoria,Localizacao,Freguesia,Data,Tipologia,pic_url,LON,LAT,Descricao
98,Sem título ,Hugo Lucas,Avenida Conde de Oeiras,Venteira,2016,Empena,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id98.jpg,"-9,233087389","38,75251254","Hugo Lucas (2016). Mural da autoria de Hugo Lucas alusivo ao tema da banda desenhada. Esta intervenção artística foi realizada no âmbito da segunda edição do evento """"Conversas na Rua"""", cujo objetivo é convidar um conjunto de artistas portugueses a intervir em suportes urbanos do concelho da Amadora."
99,Sem título ,Gonçalo Ribeiro (MAR),Avenida Santos Matos,Venteira,2016,Empena,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id99.jpg,"-9,234897778","38,75838039","Gonçalo Ribeiro (2016). Mural da autoria de MAR alusivo à temática da dança contemporânea e, especificamente, ao grupo Quorum Ballet. O artista inspirou-se, igualmente, nos estudos de anatomia de Leonardo da Vinci. Esta intervenção artística foi realizada no âmbito da segunda edição do evento """"Conversas na Rua"""", cujo objetivo é convidar um conjunto de artistas portugueses a intervir em suportes urbanos do concelho da Amadora."
100,Sem título ,Sara Morais,Avenida Santos Matos,Venteira,2016,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id100.jpg,"-9,234823275","38,75870957","Sara Morais (2016). Mural da autoria de Sara Morais, cuja representação remete para o movimento de uma bailarina de dança contemporânea do grupo Quorum Ballet. Esta intervenção artística foi realizada no âmbito da segunda edição do evento """"Conversas na Rua"""", cujo objetivo é convidar um conjunto de artistas portugueses a intervir em suportes urbanos do concelho da Amadora."
101,Stage Fright,Regg Salgado,Avenida Santos Matos,Venteira,2016,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id101.jpg,"-9,234778595","38,75856535","Regg Salgado (2016). Mural da autoria de Regg Salgado alusivo à temática do teatro e da dança contemporânea com a representação de uma dançarina do grupo Quorum Ballet. Esta intervenção artística foi realizada no âmbito da segunda edição do evento """"Conversas na Rua"""", cujo objetivo é convidar um conjunto de artistas portugueses a intervir em suportes urbanos do concelho da Amadora."
102,Sem título ,Ana Dias,Praceta 1º de Dezembro,Venteira,2016,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id102.jpg,"-9,241996358","38,75766933","Ana Dias (2016). Mural da autoria da ilustradora Ana Dias que assenta em linhas de construção baseadas na planta e desenhos da Casa Roque Gameiro, assim como nos azulejos e no jardim envolvente. Esta intervenção artística realizou-se no âmbito da segunda edição do evento """"Conversas na Rua"""", cujo objetivo é convidar um conjunto de artistas portugueses a intervir em suportes urbanos do concelho da Amadora."
103,Sem título ,Elsa Poderosa,Praceta 1º de Dezembro,Venteira,2016,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id103.jpg,"-9,241948282","38,75769164","Elsa Poderosa (2016). Mural da autoria da ilustradora Elsa Poderosa inspirado na azulejaria que reveste a Casa Roque Gameiro, recuperando ainda elementos da planta do espaço. Esta pintura mural realizou-se no âmbito da segunda edição do evento """"Conversas na Rua"""", cujo objetivo é convidar um conjunto de artistas portugueses a intervir em suportes urbanos do concelho da Amadora."
104,Sem título ,Nuno Alecrim,Avenida Conde Castro Guimarães,Venteira,2016,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id104.jpg,"-9,233370674","38,75251346","Nuno Alecrim (2016). Intervenção artística da autoria do artista plástico Nuno Alecrim que representa um templo sagrado e que reforça a literatura como uma arte ancestral. Através de dois padrões desenvolvidos propositadamente para o espaço, o artista recupera a pena, que durante mais de dois milénios representou um importante instrumento de escrita das sociedades ditas civilizadas, e a geometria aludindo aos manuscritos ancestrais. Esta intervenção realizou-se no âmbito da segunda edição do evento """"Conversas na Rua"""", cujo objetivo é convidar um conjunto de artistas portugueses a intervir em suportes urbanos do concelho da Amadora. "
105,Sem título ,Kruella d’Enfer,Rua Elias Garcia,Venteira,2017,Empena,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id105.jpg,"-9,235043104","38,75817789","Kruella d'Enfer (2017). A artista visual e ilustradora propôs-se interagir com o local de acolhimento da sua intervenção plástica, incorporando elementos caracterizadores do edifício na sua proposta mural. A dança, o teatro, e a música estão representados nesta intervenção, numa atmosfera que envolve o sonho e o onírico. A artista recorreu à técnica de graffiti na criação de uma narrativa que dialogasse com as especificidades do lugar. A produção do mural inseriu-se na terceira edição do projecto """"Conversas na Rua"""", durante a qual procurou-se desenvolver intervenções artísticas urbanas por toda a cidade da Amadora, convidando os artistas a dialogar com a paisagem urbana."
106,"Sonhar é imaginar, dorme e repousa a vida no entretanto",Estúdio Altura,Rua Theys Willemse,Mina de Água,2017,Empena,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id106.jpg,"-9,233351156","38,75875783","Estúdio Altura (2017). Pedro Peixe liderou a produção da ilustração que culminou numa representação mural que procurou homenagear Almeida Garrett, o fundador da Escola de Artes Dramáticas, que, mais tarde, transitou para a cidade da Amadora, agora sob o nome de Escola Superior de Teatro e Cinema. O colectivo recorreu a uma técnica mista, entre pintura mural e graffiti, culminando numa proposta que, simbolicamente, revela a influência do teatro no cinema (com a alusão à caixa mágica e à primeira projecção cinematográfica pública pelos irmãos Lumiére), ou a contemplação da cidade e a relação com o caminho de ferro (novamente a referência aos irmãos Lumiére e à importância da estação ferroviária na cidade). A produção do mural decorreu no âmbito da terceira edição do projecto """"Conversas na Rua"""", durante a qual procurou-se desenvolver intervenções artísticas urbanas por toda a cidade da Amadora, convidando os artistas a dialogar com a paisagem urbana."
107,Ease Your Mind,Draw & Contra,Estrada da Serra da Mira,Falagueira-Venda Nova,2017,Empena,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id107.jpg,"-9,228670181","38,76272529","Draw & Contra (2017). A dupla do Porto propôs-se exaltar a feminilidade através da representação de três versões de uma mulher, através da técnica da pintura mural (semelhança que poderá aludir a um tríptico). O universo que subjaz a intervenção remete para a delicadeza e subtileza da figura feminina acentuada pela presença de elementos simbólicos, como os lírios e o fundo abstracto com formas e contornos que remetem para uma envolvente idealizada ou uma dimensão divina. A produção do mural inseriu-se na terceira edição do projecto """"Conversas na Rua"""", durante a qual procurou-se desenvolver intervenções artísticas urbanas por toda a cidade da Amadora, convidando os artistas a dialogar com a paisagem urbana."
